03/06/2023;06:00:00;Formula2;2;12;104;204;304;404;504;604;704;804;904;1004;1104;1204;1304;1404;1504;1604;1704;1804;1904;2004;2104;2204;2304;2404;2504;2604;2704;2804;2904;3004;3104;3204;3304;3404;3504;3604;3704;3804;3904;4004;4104;4204;4304;4404;4504;4604;4704;4804;4904;5004;5104;5204;5304;5404;5504;5604;5704;5804;5904;6004;6104;6204;6304;6404;6504
03/06/2023;06:00:00;Formula3;3;13;1004;2004;3004;4004;5004;6004;7004;8004;9004;10004;11004;12004;13004;14004;15004;16004;17004;18004;19004;20004;21004;22004;23004;24004;25004;26004;27004;28004;29004;30004;31004;32004;33004;34004;35004;36004;37004;38004;39004;40004;41004;42004;43004;44004;45004;46004;47004;48004;49004;50004;51004;52004;53004;54004;55004;56004;57004;58004;59004;60004;61004;62004;63004;64004;65004
03/06/2023;09:00:00;Formula1;1;11;15;25;35;45;55;65;75;85;95;105;115;125;135;145;155;165;175;185;195;205;215;225;235;245;255;265;275;285;295;305;315;325;335;345;355;365;375;385;395;405;415;425;435;445;455;465;475;485;495;505;515;525;535;545;555;565;575;585;595;605;615;625;635;645;655
03/06/2023;09:00:00;Formula2;2;12;105;205;305;405;505;605;705;805;905;1005;1105;1205;1305;1405;1505;1605;1705;1805;1905;2005;2105;2205;2305;2405;2505;2605;2705;2805;2905;3005;3105;3205;3305;3405;3505;3605;3705;3805;3905;4005;4105;4205;4305;4405;4505;4605;4705;4805;4905;5005;5105;5205;5305;5405;5505;5605;5705;5805;5905;6005;6105;6205;6305;6405;6505
03/06/2023;09:00:00;Formula3;3;13;1005;2005;3005;4005;5005;6005;7005;8005;9005;10005;11005;12005;13005;14005;15005;16005;17005;18005;19005;20005;21005;22005;23005;24005;25005;26005;27005;28005;29005;30005;31005;32005;33005;34005;35005;36005;37005;38005;39005;40005;41005;42005;43005;44005;45005;46005;47005;48005;49005;50005;51005;52005;53005;54005;55005;56005;57005;58005;59005;60005;61005;62005;63005;64005;65005
04/06/2023;06:00:00;Formula1;1;11;16;26;36;46;56;66;76;86;96;106;116;126;136;146;156;166;176;186;196;206;216;226;236;246;256;266;276;286;296;306;316;326;336;346;356;366;376;386;396;406;416;426;436;446;456;466;476;486;496;506;516;526;536;546;556;566;576;586;596;606;616;626;636;646;656
04/06/2023;06:00:00;Formula2;2;12;106;206;306;406;506;606;706;806;906;1006;1106;1206;1306;1406;1506;1606;1706;1806;1906;2006;2106;2206;2306;2406;2506;2606;2706;2806;2906;3006;3106;3206;3306;3406;3506;3606;3706;3806;3906;4006;4106;4206;4306;4406;4506;4606;4706;4806;4906;5006;5106;5206;5306;5406;5506;5606;5706;5806;5906;6006;6106;6206;6306;6406;6506
04/06/2023;06:00:00;Formula3;3;13;1006;2006;3006;4006;5006;6006;7006;8006;9006;10006;11006;12006;13006;14006;15006;16006;17006;18006;19006;20006;21006;22006;23006;24006;25006;26006;27006;28006;29006;30006;31006;32006;33006;34006;35006;36006;37006;38006;39006;40006;41006;42006;43006;44006;45006;46006;47006;48006;49006;50006;51006;52006;53006;54006;55006;56006;57006;58006;59006;60006;61006;62006;63006;64006;65006
04/06/2023;09:00:00;Formula1;1;11;17;27;37;47;57;67;77;87;97;107;117;127;137;147;157;167;177;187;197;207;217;227;237;247;257;267;277;287;297;307;317;327;337;347;357;367;377;387;397;407;417;427;437;447;457;467;477;487;497;507;517;527;537;547;557;567;577;587;597;607;617;627;637;647;657
04/06/2023;09:00:00;Formula2;2;12;107;207;307;407;507;607;707;807;907;1007;1107;1207;1307;1407;1507;1607;1707;1807;1907;2007;2107;2207;2307;2407;2507;2607;2707;2807;2907;3007;3107;3207;3307;3407;3507;3607;3707;3807;3907;4007;4107;4207;4307;4407;4507;4607;4707;4807;4907;5007;5107;5207;5307;5407;5507;5607;5707;5807;5907;6007;6107;6207;6307;6407;6507
04/06/2023;09:00:00;Formula3;3;13;1007;2007;3007;4007;5007;6007;7007;8007;9007;10007;11007;12007;13007;14007;15007;16007;17007;18007;19007;20007;21007;22007;23007;24007;25007;26007;27007;28007;29007;30007;31007;32007;33007;34007;35007;36007;37007;38007;39007;40007;41007;42007;43007;44007;45007;46007;47007;48007;49007;50007;51007;52007;53007;54007;55007;56007;57007;58007;59007;60007;61007;62007;63007;64007;65007
